"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADAMTS1",4228.63310053753,0.160989757221587,0.175779721538988,0.915860804716768,0.359739906792513,0.866742883486336
"ADAMTS13",460.600340523584,0.0351616560232744,0.116618607486326,0.301509825757414,0.763025758545931,0.96149070395387
"ADAMTS17",317.068915301159,0.240194929145802,0.189348076608888,1.26853640896465,NA,NA
"ADAMTS2",3080.61879852568,0.246287517908849,0.178414556193479,1.38042278143363,0.167456509845705,0.781562690264181
"ADAMTS9",2502.61626293326,-0.0767981334841957,0.154666991012518,-0.496538614874714,0.619514450246655,0.937948607822307
"ADAMTSL4",1939.14050145591,0.531069924636578,0.19879452249074,2.67145149666443,NA,NA
"ADAP2",807.166938658608,0.0461237905206981,0.110957054260572,0.415690474373815,0.677636512492382,0.947297354205332
"ADAR",29033.7909556195,-0.141400684261226,0.0558140978113565,-2.53342237545681,0.0112954754982117,0.43183471712394
"ADARB1",757.291015706036,0.348118687340178,0.131176177373636,2.65382552160072,0.00795849663592544,0.404834012305215
"ADAT1",1039.04166466766,-0.0545813876825842,0.0569196892956927,-0.958919283607448,0.337599409405539,0.864654977791126
"ADAT2",410.010617801291,-0.0031410367920592,0.074818384027779,-0.0419821522861678,0.966512925984606,0.99552420557604
"ADCK2",882.848693980634,-0.0574918441718115,0.0815062575534665,-0.705367242927305,0.480581723819101,0.904280440013528
"ADCK3",2518.66318415796,-0.0536844466558566,0.0796861824349825,-0.673698312748999,0.500503134785201,0.91045728424295
"ADCY2",180.50508904036,1.25057977625169,0.248315409771662,5.03625521026529,NA,NA
"ADCY3",1718.40472514966,-0.112374092504645,0.078030922075635,-1.44012257596702,0.149832722945098,0.764125981112908
"ADCY4",365.672918359603,0.160643004293124,0.119696001853653,1.34209164721755,0.179566281852486,0.786913509161165
"ADCY5",298.172389539777,-0.312388609703025,0.204866750852771,-1.52483801496674,NA,NA
"ADCY6",1751.79865992325,-0.191192335271397,0.0911267911858897,-2.09809138216426,0.0358970736961816,0.564137411130507
"ADCY7",1134.02058103117,0.217462104345372,0.132842696826681,1.63698953378742,0.10163265646628,0.714923729987002
"ADCY9",1134.78214642382,0.121364491648054,0.0950725332252146,1.27654631186231,0.20176246661674,0.802020943365701
"ADD1",7656.05888444117,0.0450967735141389,0.046952064396372,0.960485424739355,0.336810963081942,0.864654977791126
"ADD3",5393.58785929505,0.0237530558900035,0.0804116525245945,0.295393206634305,0.767693522221172,0.96154882426783
"ADH1B",1943.80130653965,-0.0903892391521532,0.290422375084387,-0.311233730272639,NA,NA
"ADH1C",814.673860245712,-0.184294338525866,0.345087802811717,-0.534050572127635,NA,NA
"ADH5",2517.9378518074,0.00559246786433125,0.0782875990019931,0.0714349135191753,0.943051623604376,0.991914179118024
"ADHFE1",167.337498283422,0.0682904023439645,0.141522511604617,0.4825409157149,0.6294217399451,0.938368290247691
"ADIPOR1",2257.22433698738,-0.134335010586582,0.0730872686172076,-1.83800835806518,0.0660611737199585,0.643177451017
"ADIPOR2",736.677654449003,-0.0696553832980399,0.0739339885035669,-0.942129387415362,0.346126400419449,0.865858215148924
"ADIRF",2743.15081099215,-0.283895854746053,0.228514540298694,-1.24235356916444,0.214106138634422,0.811089397711272
"ADK",5470.77746320877,-0.109964787022861,0.079673335901624,-1.3801955921444,0.167526430806109,0.781562690264181
"ADNP",8139.09326809994,-0.017254459025746,0.0587731805023754,-0.293577085300814,0.769081087846135,0.961895692128415
"ADPGK",1296.8260649916,-0.0230030088606784,0.0510659662748222,-0.450456743281482,0.652381137894182,0.942332475206376
"ADRBK1",4168.56696937264,0.0434643698939359,0.0688996580846191,0.630835784998455,0.528147902564385,0.917173182469885
"ADRBK2",1703.73051038082,-0.109237897687678,0.0979719925069702,-1.11499107951598,0.264854244404531,0.846147910573149
"ADRM1",1667.32410339324,0.0581500808211524,0.0618781452536884,0.939751516189574,0.347345033491583,0.865858215148924
"ADSL",4020.08165471588,0.0397535469524023,0.0525764398515997,0.756109524810147,0.449583531736741,0.893086637048464
"ADSS",3540.2765119472,-0.0500568307880458,0.0626834500767634,-0.798565342634223,0.424542490308096,0.888810951050805
"AEBP1",36178.2523653608,0.398796018045865,0.18339015539575,2.17457702233402,0.0296618277624468,0.543297929617015
"AEBP2",2227.67198352012,0.0445261335594675,0.0589516081159627,0.75529972773399,0.450069162013789,0.893086637048464
"AES",3950.12076278198,0.0204181781648271,0.0682457862355894,0.299185917418287,0.76479819374175,0.96149070395387
"AFAP1L1",639.634979646081,0.299187711346171,0.10855527666742,2.75608630488585,0.00584975595854728,0.391215092669694
"AFAP1L2",1159.71896057261,0.227337045906601,0.134530229123584,1.68985846071637,0.0910550362706678,0.690170463670109
"AFF1",9965.06979769709,0.085816583456251,0.0676828213061446,1.26792266930014,0.204825567707113,0.802770039913809
"AFF3",522.897894741464,0.386380225495116,0.203416418654376,1.89945446906925,0.0575047476565881,0.624696384378673
"AFF4",9679.47901126068,-0.0138137742207256,0.0445407299955015,-0.310138029217769,0.75645599390929,0.961089689473185
"AFG3L2",6615.21873507804,0.0345267890751622,0.0652395199062816,0.529231194907027,0.596645079169431,0.935375993604565
"AFMID",482.466002166117,-0.0732029873771194,0.0714093695974125,-1.02511740111723,0.305307795820077,0.855542057220958
"AFTPH",3868.7495876374,0.0129855153446882,0.0627444427160179,0.206958812327983,0.836042025058605,0.971984103499675
"AGA",1689.59386663428,-0.0425115467775044,0.0800717704096588,-0.530918032160513,0.595475581467429,0.935375993604565
"AGAP1",2314.4224491876,0.0918513370458312,0.0717235240728519,1.28063056344715,0.200323459471848,0.802020943365701
"AGAP11",5736.18689355474,0.106799700406654,0.215776031286661,0.494956273733525,0.620630986530578,0.937948607822307
"AGAP3",1782.81857102852,0.0950641088054655,0.0853602538072547,1.11368118726688,0.265415982835238,0.846147910573149
"AGAP6",1673.14019662332,0.086684831481983,0.067132037672956,1.29125875642687,0.196613966971124,0.798265893038349
"AGAP9",1343.05815279174,-0.0268730035877602,0.107385583501559,-0.250247777322642,0.802395739389262,0.965323077954472
"AGBL5",869.267972260538,-0.0868391014240654,0.0708454473396651,-1.22575415478315,0.220291204158245,0.815908549355547
"AGFG1",3844.5440027732,-0.0125672927258374,0.0657336083530212,-0.191185194921067,0.848380502415079,0.973490797061948
"AGFG2",690.841789528453,0.00267858230632241,0.0969922449800861,0.0276164584794625,0.977968054703577,0.997729422898371
"AGGF1",4522.0851204243,0.0289688400204372,0.0534923128376793,0.541551458213113,0.588127539486242,0.934413707955503
"AGK",1208.93093035147,-0.0830296678341848,0.0449724484958967,-1.84623409689958,0.0648582221154779,0.639891541268338
"AGL",9467.92229774553,0.0387874775013279,0.069014205184902,0.56202165043282,0.574101268181468,0.931494242925736
